,title,abstract,paragraph,pub_date
241,Five Takeaways From the Arizona Senate Debate,"Mark Kelly and Blake Masters fought over familiar ground, including abortion, the border and the 2020 election, as they were pressed to clarify their positions.",Check out how our reporter analysis unfolded live during the Arizona Senate debate.,2022-10-07T03:45:21+0000
242,Democrats Can’t Afford to Lose Nevada,A loss in the race for Senate could change the direction of the country on major public policy issues.,LAS VEGAS — Nevada has long been a bellwether in national elections. The caricature of a casino on every block and a slot machine in every grocery store has given way to the reality of a diverse state with growing minority populations and a widening urban-rural divide that is a microcosm of America.,2022-10-07T09:00:13+0000
243,The ‘Wild West’ of Ketamine Treatment,Readers discuss the use of ketamine to treat depression. Also: Black maternal mortality; abortion; housing in the suburbs; a baseball fan’s complaint.,To the Editor:,2023-03-05T17:25:04+0000
244,U.N. Race Panel Sounds the Alarm on Abortion Access in the U.S.,The influential committee called on the Biden administration to safeguard access for minorities and to address a host of issues on race relations.,"GENEVA — An influential United Nations panel that examined the state of race relations in the United States called on the Biden administration on Tuesday to address a host of concerns, including imperiled abortion access for minorities, curbs on voting rights and the country’s “increasingly militarized approach” to immigration.",2022-08-30T18:47:46+0000
245,The Blueprint,The overturning of Roe v. Wade has given Democrats a rallying issue to mobilize around before the midterms. Can they catch up to years of Republican unity?,"On today’s episode: How the Republican grass roots got years ahead of a changing country, and whether the Democrats can catch up.",2022-10-06T09:00:32+0000
246,Abortion,"Food and Drug Administration has not approved over-the-counter sales of Plan B, emergency 'morning after' contraceptive opposed by many abortion foes; Dr Susan F Wood, director of FDA's office of women's health, resigned in Aug 2005 because of what she said was politicization of Plan B decision (S)","WASHINGTON - Abortion politics takes place on the grand stage, like the Supreme Court, but also behind closed doors, in this case at the Food and Drug Administration.",2006-03-05T05:00:00+0000
247,The Next Step in the Anti-Abortion Playbook Is Becoming Clear,"Despite clear political headwinds, the movement has embraced a push for fetal personhood.","Two months after the fall of Roe v. Wade, abortion has been banned or severely restricted in at least 14 states, energizing leaders of the anti-abortion movement but also activating voters who are opposed to many of these measures. With so much at stake in the next few election cycles — and women’s lives hanging in the balance — both sides of this fight are strategizing their next moves.",2022-08-31T09:00:20+0000
248,Trump and Abortion,He’s poorly informed even on his own position.,"Just when you thought Donald Trump couldn’t say anything more shocking, he suggested that women who get abortions should be punished.",2016-03-31T01:13:47+0000
249,The Effort to Punish Women for Having Abortions,An extreme wing of the anti-abortion movement wants to criminalize the procedure as homicide.,"Even as the anti-abortion movement celebrates victories at the Supreme Court and in many states across the country, there is debate about where to go next.",2022-08-23T10:00:08+0000
250,Stacey Abrams’s Personal Evolution on Abortion Rights,"The Georgia Democrat, a child of Methodist preachers, once identified as an abortion foe. Now, she is putting her defense of abortion rights — and the story of her conversion — at the center of her campaign for governor.","DUBLIN, Ga. — On the day that a leaked draft opinion suggested the Supreme Court was poised to overturn Roe v. Wade, Stacey Abrams addressed the abortion rights group Emily’s List and preached about abortion rights with “the zeal of the converted.”",2022-08-20T09:00:25+0000
251,My Abortion at 11 Wasn’t a Choice. It Was My Life.,"If I had been forced to give birth as a child, my life would not have been my own.","I predict that my 17-year-old daughter will become a doctor. When my husband told her about a neuroscientist and nutritionist he met while producing a documentary, she said, “That sounds like the job for me.” She knows everything about the gut microbiome, dopamine and herniated discs. She does not look away at times when others might — like when my mother unexpectedly texted me pictures of a cyst she had removed from the back of her head, sitting in a bloody specimen cup. “That’s exactly what I would do,” my daughter said. “You have to show people.”",2022-08-18T09:00:17+0000
252,"Judge Halts Part of Idaho’s Abortion Ban, Saying It Violates Health Law",The preliminary injunction was a limited but significant victory for the Biden administration after the Justice Department sued Idaho this month.,"A federal judge in Idaho blocked part of the state’s strict abortion ban on Wednesday, delivering a limited but significant victory to the Biden administration, which has tried to use its limited power to protect reproductive rights since the Supreme Court overturned Roe v. Wade in June.",2022-08-25T00:39:53+0000
253,F.T.C. sues over tracking data that could expose visits to abortion clinics.,Federal regulators said the sale of geolocation information on tens of millions of smartphones could expose people’s visits to private places.,"Smartphone location tracking, a multibillion-dollar business in the United States, can reveal intimate details about Americans’ daily routines — including where they go for medical treatments, religious services or mental health counseling.",2022-08-29T18:39:39+0000
254,The Anti-Abortion Movement Could Reduce Abortions if It Wanted To,Contraception would reduce abortions. Why doesn’t the anti-abortion movement promote it?,"Often an abortion happens because a woman is pregnant when she didn’t intend to be. It is true that some women terminate wanted but doomed pregnancies and others face serious health complications. But if abortion opponents are serious about decreasing the need for abortion instead of simply punishing women and doctors, they should be rallying around contraception access. Instead, they’re largely standing in the way.",2021-12-14T10:00:12+0000
255,"A Mother, a Daughter and an Unusual Abortion Prosecution in Nebraska",Private Facebook messages are key evidence in a rare case that has stoked fears and inflamed debate over abortion restrictions.,"The mother sent a Facebook message to her daughter days before the teenager’s abortion, the police say. “Hey we can get the show on the road the stuff came in,” she wrote in April, adding, “The 1 pill stops the hormones and then you gotta wait 24 hour 2 take the other.”",2022-08-18T07:00:09+0000
256,Abortion: The Debate Goes On; Debate on Abortion ,"WHITE PLAINS THERE is no meter up here  that measures applause,"" said Andrew P. O'Rourke, chairman of the Board of  Legislators, at Monday's public hearing on an abortion-notification bill. ""So to the extent possible, please hold that back.""  ",,1980-07-13T05:00:00+0000
257,Why the Defense of Abortion in Kansas Is So Powerful,"In many ways, across state and even party lines, voters did it together.","TOPEKA, Kan. — Lines of Kansas voters, resolute in the August sun and 100-degree heat, stretched beyond the doors of polling sites and wrapped around buildings on Tuesday to cast ballots in a primary election. A few suffered heat exhaustion. Firefighters passed out bottles of water.",2022-08-03T16:50:12+0000
258,What Tissue From an Early Abortion Shows,Responses to a guest essay about photos of early pregnancy tissue. Also: Readers discuss policing after the fatal beating of Tyre Nichols in Memphis.,To the Editor:,2023-01-30T18:03:32+0000
259,‘I’m Carrying This Baby Just to Bury It’: The Struggle to Decode Abortion Laws,"At a Louisiana hospital, concerns about complying with new abortion bans in post-Roe America left a pregnant woman with a devastating diagnosis, but not an abortion.","Nancy Davis says that when she learned this month that the fetus she was carrying had a rare and fatal condition, she and her partner were devastated.",2022-08-19T18:22:18+0000
260,If Men Needed the Abortions …,It feels like Roe v. Wade is under threat in a way that it hasn’t been in recent memory. ,"On Thursday, three women of color — sitting members of Congress — testified before the House Committee on Oversight and Reform about abortions they had received, describing, in some cases, the stigma attached to them.",2021-10-03T19:00:07+0000
261,Showdown on Abortion at the Supreme Court,The justices should see that a Texas law has nothing to do with women’s health or free choice.,The decades-long crusade to end legal abortion in America after Roe v. Wade has again reached the Supreme Court.,2016-02-27T19:30:28+0000
262,Staging the Politics of Abortion,"In “O Beautiful,” which will make its debut at the University of Delaware, Theresa Rebeck blends American history and contemporary issues in a satirical play about politics, abortion and Jesus.","NEWARK, Del. — When the playwright Theresa Rebeck was writing for the ABC drama “NYPD Blue” in the 1990s, she proposed a story line in which a main female character considers an abortion — and then has one, a rare outcome on American television. But the idea was rejected as toxic for the character, she said. Ms. Rebeck later pitched an abortion-themed project to Lifetime, then known by the tag line Television for Women, but that cable channel passed, too.",2011-04-13T22:20:23+0000
263,"Abortion, Condoms and Bush",The evidence shows that condoms do more to bring down abortion rates than pious moralizing. ,It seemed the perfect way to shame President Bush for disregarding the poor: I suggested that he had presided over a surge in abortions.,2006-11-05T05:00:00+0000
264,False Alarm on Abortion,What is being overlooked in the abortion debate is the other benefits that expanded health insurance coverage could bring to women’s reproductive health.,"Wellesley, Mass.",2009-11-25T03:49:18+0000
265,"Abortion, Condoms and Bush","Nicholas D Kristof Op-Ed column argues that presidents who oppose abortion, like Pres Bush, accomplish far less in reducing abortions than presidents who support abortion; says way to reduce abortions is to promote contraception and comprehensive sex education rather than 'abstinence only' programs; calls for increase in family planning spending and for all health insurers to cover cost of prescription contraceptives (M)",It seemed the perfect way to shame President Bush for disregarding the poor: I suggested that he had presided over a surge in abortions.,2006-11-05T05:00:00+0000
266,"Medical Impact of Roe Reversal Goes Well Beyond Abortion Clinics, Doctors Say","State abortion bans carry narrow but sometimes vague exceptions, and years of prison time. That’s forcing doctors to think like lawyers, and hospitals to create new protocols.","In Wisconsin, a group of doctors and lawyers is trying to come up with guidelines on how to comply with a newly revived 173-year-old law that prohibits abortion except to save the life of a pregnant woman. They face the daunting task of defining all the emergencies and conditions that might result in a pregnant woman’s death, and the fact that doctors could be punished with six years in prison if a prosecutor disagrees that abortion was necessary.",2022-09-10T09:00:21+0000
267,White House on Sotomayor and Abortion,The latest take from the White House press secretary on the back-and-forth over abortion and the next Supreme Court nominee.,"In the last few days since President Obama announced his decision to nominate Judge Sonia Sotomayor to the Supreme Court, the White House press secretary, Robert Gibbs, has been asked repeatedly by reporters about Judge Sotomayor's views on abortion. ",2009-05-29T02:39:51+0000
268,Is There a Post-Abortion Syndrome?,"A growing number of anti-abortion activists, despite
social-science research, claim that women are
traumatized by their abortions — and are trying to use
this to reframe the abortion debate.","Early on a windy Saturday morning in November, Rhonda Arias drove her Dodge Caravan past a Wal-Mart at the end of her block and onto the Interstate. She was beginning the 50-mile drive from her house in southwest Houston to Plane State Jail, where she is, as she puts it, an “abortion-recovery counselor.” To Arias, that means helping women at the prison who have had abortions to understand how that procedure has stained them, and how it explains what has gone wrong in their lives. The prisoners’ abortions, she told me, “have a great deal to do with their pain.”",2007-01-21T05:00:00+0000
269,Where Abortion Is on the Ballot,The outcome of November’s elections will affect abortion access for millions of Americans. Activists on both sides are focused on races up and down the ballot.,The outcome of November’s elections will affect abortion access for millions of Americans. Activists on both sides are focused on races up and down the ballot.,2022-07-20T15:29:22+0000
270,"Group Seeks to Block Abortion Vote in Michigan, Citing Typography",The effort is aimed at keeping a constitutional amendment to guarantee abortion rights off the ballot. A voting access measure is also being challenged.,"Conservative groups in Michigan filed challenges this week to efforts to put two constitutional amendments on the ballot in November, one that would guarantee abortion rights and the other that would expand voting access.",2022-08-19T23:03:27+0000
271,The Politics of Abortion,Polls show that support for abortion rights is rising. Will that help Democrats this fall?,"Regular readers of this newsletter may remember the thermostat theory of politics. It’s the idea, developed by the political scientist Christopher Wlezien, that public opinion often moves in the opposite direction as government policy.",2022-06-13T10:12:58+0000
272,"Ads Begin in Texas Governor Race, With O’Rourke’s Highlighting Abortion","Last week, Gov. Greg Abbott released a first ad and, on Thursday, Beto O’Rourke, the former El Paso congressman and perennial Democratic hopeful, countered with two of his own.","HOUSTON — With early voting now two months away, the ad competition has begun in the race for Texas governor. Last week, Gov. Greg Abbott released a first ad and, on Thursday, Beto O’Rourke, the former El Paso congressman and perennial Democratic hopeful, countered with two of his own.",2022-08-25T13:42:04+0000
273,The Abortion Stereotype,"Think of it less as a “war on women,” and more as a war among them.","DAVIS, Calif. — IT’S been widely observed that in recent elections men have leaned Republican and women Democratic. A key element of that gender gap is often assumed to be a difference in attitudes to women’s reproductive rights.",2015-01-03T03:28:23+0000
274,ABORTION: AN ISSUE THAT WON'T GO AWAY; ABORTION ,"Carolyn Gerster flicks a switch and the wall of an Arizona family room is filled by a slide of ""those rascals""-- the nine United States Supreme Court justices who voted 7 to 2 to legalize elective abortion in January 1973. She reads out their names with a disdain befitting ...  ",,1980-03-30T05:00:00+0000
275,Women Seeking Abortions in South Dakota to Get Anti-Abortion Advice,South Dakota became the first state to require all women seeking abortions to first attend a consultation at a “pregnancy help center.”,"The sign out front advertises free pregnancy tests, information about abortion and testing for sexually transmitted diseases. But it is not an abortion clinic — it is home to the Alpha Center, an organization in Sioux Falls, S.D., dedicated to encouraging women to bring their babies to term. ",2011-03-22T17:48:42+0000
276,A Portrait of Abortion,And the Supreme Court’s two very different paths.,The Supreme Court seems all but certain to rewrite the country’s abortion laws when it rules in coming months on a case from Mississippi. But the real-world effects of that ruling will differ enormously depending on how far the justices go.,2021-12-14T11:38:19+0000
277,Aggressive on Abortion,"On the first night of the convention, the Democrats emphasized abortion rights–a risky move.","CHARLOTTE, N.C.–The Democratic Party emphasized abortion rights on the first day of the convention, with a video on reproductive choice, remarks from Nancy Keenan, the president of NARAL, and an aggressive aside from Deval Patrick, the Governor of Massachusetts, on the party’s pro-choice record.",2012-09-05T12:27:18+0000
278,N.Y. Special Election Shows Power of Abortion Debate to Move Democrats,"Pat Ryan, a Democrat, warns against “pulling our punches” on abortion and other issues during the midterm elections.","Within an hour of the Supreme Court’s decision overturning Roe v. Wade in June, Pat Ryan, a combat veteran, released an ad for his congressional campaign, stressing his support for abortion rights. After Kansans overwhelmingly voted to defend abortion protections this month, Mr. Ryan cast his upcoming race as the next major test of the issue’s power.",2022-08-24T22:45:52+0000
279,Abortion and Punishment,Donald Trump stumbles onto the true logic of the case against legal abortion: Murder has consequences.,"DONALD J. TRUMP gave his primary opponents a gift when he said this week that if abortion is outlawed, “there has to be some form of punishment” for the woman. He let them look as if they cared about women.",2016-04-02T02:27:51+0000
280,The Dawn of the Post-Clinic Abortion,Some activists like Rebecca Gomperts are now imagining the unthinkable: a future where most abortions happen at home.,"In June 2001, under a cloud-streaked sky, Rebecca Gomperts set out from the Dutch port of Scheveningen in a rented 110-foot ship bound for Ireland. Lashed to the deck was a shipping container, freshly painted light blue and stocked with packets of mifepristone (which used to be called RU-486) and misoprostol. The pills are given to women in the first trimester to induce a miscarriage. Medical abortion, as this procedure is called, had recently become available in the Netherlands. But use of misoprostol and mifepristone to end a pregnancy was illegal in Ireland, where abortion by any means remains against the law, with few exceptions.",2014-08-28T14:54:28+0000
281,The Abortion Debate,Men and women have similar opinions. So do different racial groups and generations.,This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday.,2019-02-07T14:37:31+0000
282,The Abortion Debate,And is Medicare for all even possible?,Listen and subscribe to our podcast from your mobile device:,2019-02-07T10:00:08+0000
283,The Abortion Memo,The Democratic Party is suffering unnecessarily.,To: Democratic Party Leaders,2018-02-01T23:55:26+0000
284,The Abortion Ruling Was Stunning but Not Surprising,The groundwork was laid long ago for the Texas anti-abortion law that the Supreme Court allowed to go into effect.,Many Americans were caught off guard by the Supreme Court’s decision late Wednesday night to let stand a blatantly unconstitutional Texas law that bans nearly all abortions in the state.,2021-09-02T19:22:15+0000
285,Is Abortion Rare?,It’s difficult to analyze the data for this politically charged issue dispassionately.,"In a Friday post about the Komen foundation and Planned Parenthood, I wrote that abortion is safe, legal and rare. The word “rare” stirred things up in the comments section, with readers from both sides of the debate disagreeing with me and maintaining that abortion is actually fairly common.",2012-02-06T19:42:58+0000
286,Abortion at the Court,The Supreme Court seems likely to undermine or overturn Roe v. Wade.,"All six Republican appointees on the Supreme Court have long signaled that they have qualms with the Roe v. Wade decision. What’s been less clear is whether at least five of them — enough to make a majority — would be willing to overturn Roe, which would require scrapping decades of legal precedents.",2021-12-02T11:35:53+0000
287,Abortion on the Ballot,"See election results for ballot measures related to abortion and reproductive rights in California, Kentucky, Michigan, Montana and Vermont.","See election results for ballot measures related to abortion and reproductive rights in California, Kentucky, Michigan, Montana and Vermont.",2022-11-08T17:43:30+0000
288,The Stealth Attack on Abortion Access,"Some states are subsidizing medically questionable crisis pregnancy centers, while moving to strip funding from comprehensive health care providers.","A YEAR ago, a mother and self-described “God-fearing woman” called me after she had an abortion. She said that earlier, when she found herself unexpectedly pregnant, she drove straight to what she thought was a comprehensive health care provider near her home in Columbus, Ohio. When she asked about abortion, the staff told her she shouldn’t murder her child. Ohio requires an ultrasound before an abortion, so the woman listened to the staff’s condemnations, taking them to heart, crying. She told me later, “I didn’t know where else to go.”",2015-11-12T08:21:03+0000
289,Using Comedy to Push for Abortion Rights,"Lizz Winstead, the “Daily Show” co-creator, has marshaled her contacts in the standup world to help supporters turn protest into action.","“Things are awesome — never better!” joked Lizz Winstead, the comedian, producer and abortion rights activist. “Sleeping well; no diarrhea. Things are awesome.”",2022-07-15T19:25:44+0000
290,The Abortion Ship,"Rebecca Gomperts is a Dutch doctor who pushes the limits of abortion law. In this excerpt from Diana Whitten’s documentary “Vessel,” Gomperts creates a mobile clinic aboard a ship.","Rebecca Gomperts is a Dutch doctor who pushes the limits of abortion law. In this excerpt from Diana Whitten’s documentary “Vessel,” Gomperts creates a mobile clinic aboard a ship.",2014-08-28T14:54:24+0000
291,Abortion Has Never Been Just About Abortion,The way it became a “godsend” for the right is a peculiar tale.,"As recently as 1984, abortion was not a deeply partisan issue.",2021-09-15T09:00:16+0000
292,Some Women ‘Self-Manage’ Abortions as Access Recedes,Information and medications needed to end a pregnancy are increasingly available outside the health care system.,"To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.",2022-08-07T09:00:18+0000
293,Rape and Abortion,Todd Akin’s imbecilic comments don’t fall all that far outside the new right-wing mainstream.,"Missouri Rep. Todd Akin’s repulsive comments about abortion and rape have lit up the Internet. In explaining his no-exceptions abortion policy he said: “First of all, from what I understand from doctors, [pregnancy from rape] is really rare. If it’s a legitimate rape, the female body has ways to try to shut that whole thing down.”",2012-08-20T17:43:52+0000
294,The Abortion Question,Would pending health care legislation expand abortion coverage?,"Whether health care legislation pending in Congress will cover abortion services — and if so, how those services would be paid for — is proving predictably divisive. In an electronic “town hall kit” published earlier this week, the Family Research Council, like other conservative groups, raised the prospect that taxpayers would be required to “pay for abortion on demand” and to “fund the leading provider of abortion in the nation, Planned Parenthood.”",2009-08-27T16:44:10+0000
295,The End of Abortion,"With a new Trump appointee, the Supreme Court is likely to make access to the procedure practically impossible in states hostile to it.","As a candidate, Donald Trump promised to appoint justices who would overrule Roe v. Wade, and the actions of his administration confirm his hostility. With Justice Anthony M. Kennedy’s retirement, we are now at the moment of reckoning.",2018-06-28T20:41:34+0000
296,Abortion in D.C.,"A bill to ban abortions in D.C. after 20 weeks of pregnancy passed the House Judiciary Committee, but it’ll never become law.","After the midterm elections, the House G.O.P. leadership announced an end to special votes used for “expressions of appreciation and recognition.” They had in mind resolutions like No. 1429, which stated that American mothers “have made immeasurable contributions,” or like No. 1460, which recognized “the importance of pollinators in agriculture” with the establishment of a National Pollinator Week.",2012-07-19T17:31:04+0000
297,Suicide and Abortion,The assisted suicide-abortion analogy and its implications for policy.,From Will Saletan’s piece on the death of Jack Kevorkian (whose career is the subject of my column today):,2011-06-06T18:48:10+0000
298,The Abortion Excuse,"When right-wing activists go after Planned Parenthood, they reduce health care options for millions of women who will never have an abortion.","When right-wing politicians and activists go after Planned Parenthood, which has been one of their favorite pastimes in recent years, they often say they are fighting against abortion.",2012-03-08T19:15:16+0000
299,The Anti-Abortion Movement Is in Denial,It can’t defend the world it has made.,It is always painful to grapple with realities that contravene your most deeply held beliefs.,2022-07-29T09:00:21+0000
300,Abortion Rewrites,A draft of the Democratic platform on abortion is parsed.,"Pro-life liberals and the Democratic platform: Steven Waldman, the editor-in-chief of Beliefnet, is disappointed by the abortion plank in the draft Democratic platform.  ""The key linguistic debate has been whether to 'reduce the number of abortions' or 'reduce the need for abortions,'"" Waldman writes on his Beliefnet blog. ""Pro-life folks favored the former. Pro-choice folks favored the latter. The pro-choice folks won. In fact, the 2004 platform said abortion 'should be safe, legal and rare' — language [that] casts abortion reduction as morally preferable, something this platform does not.""   While the draft platform ""includes — for the first time — language specifically designed to reduce the need for abortions,"" Waldman says that religious Democrats wanted it to go further, with ""moral language casting abortion as a morally inferior choice."" He concludes:    All in all, I'd say that this platform does NOT do what was necessary to win substantial numbers of Catholics or moderate evangelicals. However, in combination with a strong personal statement from Obama about the moral necessity of reducing abortion, the party could make real headway. All eyes now turn to Obama's performance at Saddleback Church later this week.     Daniel Schultz of Street Prophets, an online forum for religious liberals, agrees with Waldman's take. ""Gone is the Clinton-era 'safe, legal and rare' moralism, replaced with some rather vague wording about 'abortion reduction,'"" Schultz writes, using his Street Prophets handle, ""pastordan.""   Schultz points out that Dana Goldstein of The American Prospect interprets the new abortion plank ""as a victory for feminist pro-choicers, not pro-lifers."" In a post a Tapped, the Prospect's group blog, Goldstein calls the platform ""a significant victory for reproductive rights advocates.""   ""The Clintonian formula of 'safe, legal, and rare' has been scrubbed,"" Goldstein writes, and the plank isn't ""a modification of the party's pro-choice stance. Rather, it's a strengthening of that position and a re-articulation of the commitment to helping low-income expectant mothers.""     ",2008-08-13T16:28:07+0000
301,Abortion Rewrites,A draft of the Democratic platform on abortion is parsed.,"Pro-life liberals and the Democratic platform: Steven Waldman, the editor-in-chief of Beliefnet, is disappointed by the abortion plank in the draft Democratic platform.",2008-08-13T16:28:07+0000
302,Cardinal Urges End to Abortion,Roman Catholic archbishop of Los Angeles Cardinal Roger Mahoney delivers invocation at opening of Democratic National Convention in which he calls for end to abortion; photo (S),The Roman Catholic archbishop of Los Angeles called today for an end to abortions as he delivered the invocation at the opening of the Democratic National Convention.,2000-08-15T05:00:00+0000
303,"The Supreme Court Isn’t Listening, and It’s No Secret Why",A court that does not keep the public’s trust cannot perform its critical role in American government.,"The Supreme Court’s authority within the American political system is both immense and fragile. Somebody has to provide the last word in interpreting the Constitution, and — this is the key — to do so in a way that is seen as fair and legitimate by the people at large.",2022-10-01T15:00:05+0000
304,They Searched Online for Abortion Clinics. They Found Anti-Abortion Centers.,"Using Google ads and the promise of free services, Human Coalition, a Texas nonprofit, intercepts women across the country who want to end their pregnancies and tries to stop them.","Using Google ads and the promise of free services, Human Coalition, a Texas nonprofit, intercepts women across the country who want to end their pregnancies and tries to stop them.",2022-06-23T01:41:44+0000
305,The Abortion Question,Would pending health care legislation expand abortion coverage?.,"Whether health care legislation pending in Congress will cover abortion services - and if so, how those services would be paid for - is proving predictably divisive. In an electronic ""town hall kit"" published earlier this week, the Family Research Council, like other conservative groups, raised the prospect that taxpayers would be required to ""pay for abortion on demand"" and to ""fund the leading provider of abortion in the nation, Planned Parenthood.""",2009-08-27T16:44:10+0000
306,Abortion and the G.O.P.,"LEAD: Despite loud cries of triumph and tragedy, the Supreme Court in Missouri v. Webster made no change whatever in abortion law or in a woman's constitutional right to choose an abortion.","Despite loud cries of triumph and tragedy, the Supreme Court in Missouri v. Webster made no change whatever in abortion law or in a woman's constitutional right to choose an abortion.",1989-07-07T05:00:00+0000
307,Why Abortion Has Become a Centerpiece of Democratic TV Ads in 2022,"Since the Supreme Court overturned Roe v. Wade, Democrats have spent nearly eight times as much on abortion-related ads as Republicans have.","In Michigan, Democrats took aim at the Republican nominee for governor almost immediately after the primary with a television ad highlighting her opposition to abortion, without exceptions for rape or incest.",2022-08-14T09:00:17+0000
308,Abortion and Crime,Steven D. Levitt explains his research.,Steven D. Levitt explains his research.,2007-09-10T23:26:26+0000
309,Abortion in Colombia,"Colombia, which until May 10 had completely banned abortion, has legalized it in cases when the pregnancy endangers the life or health of the mother, or results from rape or incest, or if the fetus is unlikely to survive.","Colombia, which until May 10 had completely banned abortion, has legalized it in cases when the pregnancy endangers the life or health of the mother, or results from rape or incest, or if the fetus is unlikely to survive.",2006-05-24T05:00:00+0000
310,The Latest on Abortion in the States,"In the aftermath of the Supreme Court striking down Roe v. Wade, there has been a flurry of activity in the states as officials move to prohibit or expand abortion access.","In the aftermath of the Supreme Court striking down Roe v. Wade, there has been a flurry of activity in the states as officials move to prohibit or expand abortion access.",2022-07-06T17:15:57+0000
311,"As states ban abortion, demand for birth control and abortion pills is rising.","Some women are stockpiling birth control, emergency contraception and abortion pills in case legislation prevents them from accessing it in their home state.","Less than 48 hours after the Supreme Court said states could ban abortion, health care providers have noticed an increase in interest in birth control, emergency contraception and abortion pills.",2022-06-26T13:36:49+0000
312,The Court and Abortion,"The Supreme Court unnecessarily returned to the politically charged area of abortion this week, hearing arguments in a case testing some of the core principles of Roe v. Wade.","The Supreme Court unnecessarily returned to the politically charged area of abortion this week, hearing arguments in a case testing some of the core principles of Roe v. Wade and the court’s own credibility as an institution removed from politics. ",2006-11-11T05:00:00+0000
313,The Abortion Issue,"LEAD: To many Bush supporters, the most worrisome moment of the debate came when the Vice President appeared unprepared on an abortion question: if, as he wishes, abortions were to become illegal again, what penalties would the offending woman face?","To many Bush supporters, the most worrisome moment of the debate came when the Vice President appeared unprepared on an abortion question: if, as he wishes, abortions were to become illegal again, what penalties would the offending woman face?",1988-09-29T05:00:00+0000
314,Alito and Abortion,The Times's Adam Liptak discusses how the issue of abortion will come into play during the hearings.,The Times's Adam Liptak discusses how the issue of abortion will come into play during the hearings.,2006-01-10T01:18:41+0000
315,A partial recount in Kansas affirms a vote over abortion rights.,The state’s voters overwhelmingly rejected an anti-abortion constitutional amendment earlier this month.,A hand recount in nine Kansas counties affirmed the overwhelming rejection of an anti-abortion constitutional amendment by the state’s voters on Aug. 2.,2022-08-22T19:33:37+0000
316,The Court and Abortion,"Editorial holds that Supreme Court has unnecessarily returned to politically charged area of abortion; says at issue is deceptively broad ban on so-called partial-birth abortions; notes that court struck down similar measure six years ago, but since then two new justices have arrived; contends that in interest of women's privacy and health--and in defense of court's own reputation--justices should strike down this far-reaching assault on reproductive freedom","The Supreme Court unnecessarily returned to the politically charged area of abortion this week, hearing arguments in a case testing some of the core principles of Roe v. Wade and the court's own credibility as an institution removed from politics.",2006-11-11T05:00:00+0000
317,Is abortion illegal now?,"Friday’s Supreme Court decision to overturn Roe v. Wade leaves the future of abortion in the hands of each state. Just minutes after the court ruling was announced on Friday, Attorney General Eric Schmitt of Missouri certified the state’s trigger law to effectively ban all abortions.","Friday’s Supreme Court decision to overturn Roe v. Wade leaves the future of abortion in the hands of each state. Just minutes after the court ruling was announced on Friday, Attorney General Eric Schmitt of Missouri certified the state’s trigger law to effectively ban all abortions.",2022-06-08T09:03:35+0000
318,The Abortion Question,"Nicholas D Kristof Op-Ed column on abortion controversy suggests that recent events in Portugal illustrate what might happen in America if Pres Bush gets his way with Supreme Court on abortion issue; cites two mass abortion trials in Portugal, in which 49 women were tried for having abortions, and all were acquitted except for a nurse who was sentenced to eight and half years in prison for performing abortions; observes that Portugal, like United States, is industrialized democracy with conservative religious streak, but that trials have repulsed Portuguese; contends Portugal offers sobering lessons for Americans who, like Pres Bush, aim to overturn Roe v Wade; asserts that abortion laws are very difficult to enforce in world as mobile as ours; holds that if states did criminalize abortion, they would face backlash as public focus shifts from fetus to the woman (M)","To understand what might happen in America if President Bush gets his way with the Supreme Court, consider recent events in Portugal.",2004-04-07T05:00:00+0000
319,The Archbishop and Abortion,"""I believe in an America where the separation of church and state is absolute--where no Catholic prelate would tell the President (should he be Catholic) how to act, and no Protestant minister would tell his parishioners for whom to vote...""  ",,1980-09-19T05:00:00+0000
320,Posturing on Abortion,"Editorial says so-called Child Custody Protection Act, which won approval in House, is in fact latest scheme to curb abortion rights by opponents of women's reproductive freedom; says measure would endanger lives of desperate young women seeking abortions by denying them assistance from any adult other than parent to acccompany them across state lines seeking abortion; notes this is third time House has passed this proposal; holds, now with Republican in White House, it is crucial that Senate majority leader Tom Daschle rally his pro-choice colleagues to keep this measure from reaching Pres Bush","In recent years, opponents of women's reproductive freedom have come up with increasingly creative schemes to curb abortion rights. One of the newest and most deceptive of these, the egregiously mislabeled Child Custody Protection Act, won easy approval in the House on Wednesday. Far from protecting vulnerable minors, the measure's actual result would be to endanger the lives of desperate young women seeking abortions by denying them assistance from their grandparents or other trusted adults.",2002-04-19T05:00:00+0000
321,The Federal Government Subsidizes Abortions. Will That Last?,Individuals can often use health insurance or flexible spending accounts to pay for abortions or deduct the cost on tax returns. Congress might weigh in.,"In the United States, you can get a tax deduction for your abortion if your overall health care expenses are high enough. That didn’t change with the Supreme Court’s ruling last week.",2022-07-02T07:00:10+0000
322,Ashcroft on Abortion,"John Ashcroft told the Senate Judiciary Committee that if confirmed as attorney general he would not seek any opportunities to challenge the Supreme Court's ruling upholding abortion rights, which momentarily alarmed some of his supporters in the anti-abortion movement.    Article, Page A16.","John Ashcroft told the Senate Judiciary Committee that if confirmed as attorney general he would not seek any opportunities to challenge the Supreme Court's ruling upholding abortion rights, which momentarily alarmed some of his supporters in the anti-abortion movement.",2001-01-18T05:00:00+0000
